osm_id,code,fclass,population,name,objectid2,province,district,tehsil,lat,lng
9247165788,1003,village,0,عمر بگا,343,PUNJAB,KASUR,CHUNIAN,30.9297,74.0349
9247165789,1003,village,0,نا کیں,343,PUNJAB,KASUR,CHUNIAN,30.9348,74.0263
9247165790,1003,village,0,پلاھڑیں,343,PUNJAB,KASUR,CHUNIAN,30.9298,74.0467
9247165846,1003,village,0,جنڈوال,343,PUNJAB,KASUR,CHUNIAN,30.9438,74.0595
9247165849,1003,village,0,مولا پور,343,PUNJAB,KASUR,CHUNIAN,30.9245,74.0708
9247165850,1003,village,0,کوٹ لالے والا,343,PUNJAB,KASUR,CHUNIAN,30.9523,74.0686
9247165858,1003,village,0,مفـت پورہ,343,PUNJAB,KASUR,CHUNIAN,30.9539,74.0969
9247165859,1003,village,0,سندھی کھو,343,PUNJAB,KASUR,CHUNIAN,30.9795,74.0787
9247165860,1003,village,0,ڈوبلی,343,PUNJAB,KASUR,CHUNIAN,30.9641,74.1085
9247165907,1003,village,0,سید پور,343,PUNJAB,KASUR,CHUNIAN,30.9554,74.1684
9247165932,1003,village,0,بھگیانا خورد,343,PUNJAB,KASUR,CHUNIAN,30.9294,74.175
9247165933,1003,village,0,باھر سودھیاں,343,PUNJAB,KASUR,CHUNIAN,30.9322,74.1882
9247165934,1003,village,11604,ڈھنگ شاہ,343,PUNJAB,KASUR,CHUNIAN,30.9355,74.2133
