osm_id,code,fclass,name,objectid2,province,district,tehsil,lat,lng
5079337550,2082,school,Quick Learning School,0,SINDH,KARACHI,GADAP TOWN,25.0577,67.1055
5079404637,2522,sports_shop,Shahid Sports Shop,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9084,67.0339
5079404668,2084,college,Govt College for Men,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9098,67.0318
5079404670,2601,bank,بینک الفلاح,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9053,67.0306
5079404677,2303,cafe,Cafe Ajwa,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9059,67.033
5079404678,2082,school,Islamabad High School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.904,67.0332
5079404679,2529,beauty_shop,Rose Beauty Parlour,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9048,67.0316
5079404680,2110,hospital,Yahya Eye Hospital,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9058,67.0317
5079404681,2601,bank,الائیڈ بینک لمیٹڈ,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9073,67.0331
5079404682,2601,bank,سونیری بینک,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9075,67.0348
5079404683,2502,bakery,Super Asia Bakery,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9066,67.0345
5079542885,2601,bank,اسٹینڈرڈ چارٹرڈ,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9182,67.031
5079542888,2601,bank,بینک اسلامی,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9156,67.0309
5079542889,2082,school,SM Public School Main Campus,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9152,67.0309
5079542890,2601,bank,Habib Metro Bank - ATM,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9148,67.0309
5079542891,2601,bank,فیصل بینک,0,SINDH,KARACHI,LIAQATABAD TOWN,24.914,67.0309
5079542892,2302,fast_food,Pizza Point,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9134,67.0308
5079542898,2110,hospital,AO Medical Centre,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9142,67.0308
5079542899,2110,hospital,Liaquat National Hospital,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9139,67.0308
